ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
165,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,3,Male,Always,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Moderately,Mostly,Mostly,Mostly,Mostly,Moderately,Mostly,No,Yes,"Gender Bias, Mental harrassment",Do not wish to answer,Do not wish to answer,,"No, I did not bother.","No, I did not bother to report.",Human Resources,No actions were taken.,Not comfortable,No,,Yes,Maybe,Sometimes,Sometimes,Mostly,Always,Mostly,Mostly,,,"No, I don’t have such opportunities",,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
166,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,0,3,Female,Mostly,Always,Not Available,Moderately,Always,Always,Always,Mostly,Moderately,Not Available,Not Available,Always,Not Available,Always,Yes,Yes,Gender Bias,Not sure,Not sure,,,,I don't know.,,,,,Maybe,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,,,"No, I don’t have such opportunities",,,Mostly,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,Nursing room(s)
167,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,4,Female,Mostly,Mostly,Mostly,Rarely,Always,Always,Always,Mostly,Rarely,Mostly,Moderately,Always,Always,Always,Yes,Yes,"Gender Bias, Emotional harrassment",Yes,No,"Gender bias, Mental harrassment","No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",Designated committee,I didn't take it up further.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?","Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Rarely,Mostly,Always,Rarely,Mostly,Mostly,"I like to volunteer for almost everything, be it organizing a meeting or a cleaning drive in the lab because it keeps me tight with the lab kin and I do not like unnecessary negativity around me. ",,Yes,,Leadership,Rarely,Neutral,None,None,Sufficient,Insufficient,"Extension of work contract to cover the personal leave, On-site or subsidized childcare (nursery, kindergarten)"
168,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,2,0,Male,Mostly,Mostly,Mostly,Mostly,Always,Not Available,Always,Mostly,Mostly,Mostly,Mostly,Always,Not Available,Always,No,Do not wish to answer,,Yes,Not Available,"Gender bias, Mental harrassment","Yes, I immediately responded.","No, I did not know whom to report.",Supervisor,No actions were taken.,Not comfortable,No,No,Yes,Yes,Mostly,Mostly,Mostly,Mostly,Sometimes,Mostly,No incentives,I always volunteer,"No, I don’t have such opportunities",,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
169,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,1,Female,Always,Moderately,Not Available,Always,Always,Always,Mostly,Always,Always,Not Available,Always,Always,Not Available,Always,Yes,No,Gender Bias,No,Yes,Gender bias,I served as a GS in one of the WIS initiatives in a chemistry heavy institute in India and the kind of bias that women PhDs or scientists faced was mostly related to male PhD candidates being preferred for the heavy work (read carrying cylinders) involved. One of the great aspects of the initiative was mentoring provided by women scientists. PhD candidates could share professional problems with the mentors in the programme and the solutions were very effective in an Indian scenario.,I was able to connect the candidates to appropriate mentors.,Designated committee,,,,,Yes,Yes,Always,Always,Sometimes,Sometimes,Never,Never,,,Yes,I have served as a General Secretary for a women in science initiative and have helped PhD candidates address their professional concerns to faculty.,,Always,Supportive,Insufficient,Insufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
170,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,2,Female,Always,Mostly,Mostly,Always,Mostly,Always,Moderately,Moderately,Moderately,Mostly,Moderately,Always,Always,Always,Yes,Yes,"Emotional harrassment, Mental harrassment",No,Yes,Emotional harrassment,"Yes, but I responded later.","No, I was afraid of being misjudged.",Human Resources,No actions were taken.,Somewhat comfortable,No,No,Yes,No,Always,Always,Mostly,Always,Mostly,Always,"Doing something peaceful , as it gives me a break from scientific work , re energizes me and I’m able think better after not thinking about science by doing something mechanical ",NA,Yes,"Women in science symposiums , good impact",Flexibility,Sometimes,Unwelcome,Insufficient,Insufficient,Sufficient,Insufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
171,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Technical staff,University,3,2,Male,Rarely,Moderately,Not Available,Moderately,Always,Always,Mostly,Mostly,Moderately,Not Available,Moderately,Always,Not Available,Mostly,Yes,Not sure,"Gender Bias, Emotional harrassment",Yes,Yes,Gender bias,"No, I was discouraged from responding to the incident.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Yes,Maybe,Mostly,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, I don’t have such opportunities",,,Mostly,Supportive,Sufficient,None,Sufficient,Sufficient,None
172,United States,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Management Consultant,Industry,2,1,Male,Always,Mostly,Always,Mostly,Always,Always,Always,Always,Mostly,Mostly,Always,Always,Always,Always,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I was afraid of furthering the issue.",It was mostly unconscious bias ,I don't know.,No actions were taken.,Not comfortable,No,No,Yes,Yes,Always,Always,Sometimes,Mostly,Sometimes,Mostly,,,Yes,,,Rarely,Neutral,None,None,Insufficient,Insufficient,Nursing room(s)
173,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,1,Male,Always,Always,Mostly,Mostly,Always,Always,Always,Always,Mostly,Mostly,Mostly,Always,Always,Mostly,No,No,,No,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Supervisor,No actions were taken.,Not comfortable,No,No,Yes,Maybe,Always,Always,Always,Always,Always,Always,Passion,,"No, I don’t have such opportunities",,Equality,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Changing platform for babies only in ladies toilets"
174,United States,India,Female,40 - 50,Single,"Science, Technology, Engineering, Mathematics [STEM]","Scientific writer, academic grant writer",University,6,3,Female,Moderately,Mostly,Not Available,Mostly,Always,Not Available,Moderately,Moderately,Always,Not Available,Mostly,Always,Not Available,Always,Not sure,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I did not bother.","No, I did not bother to report.",Designated committee,I did not report the incidents other than discussing with colleagues,Not comfortable,"I did not report the incident, but discussing it with my colleagues and friends helped me find workable strategies to overcome it.",No,Yes,Yes,Mostly,Mostly,Sometimes,Always,Sometimes,Mostly,,"I currently dont work in a lab environment so my answer is in response to group outings. I am an introvert and so dont usually take the lead in doing stuff. When I was in the lab, I ended up doing a lot of the general lab work, as it needed to get done, mostly because I needed it to do my experiments.",Yes,I am part of my organization's commission for women. I am in the awards and nominations committee,"Most academic institutions in the US have these support groups already. For career, mentoring, etc. The trick is to find people interested and invested enough in these missions to make is successful and helpful.",Mostly,Supportive,Sufficient,Insufficient,Sufficient,Sufficient,"Nursing room(s), My answers to this and previous questions are ambiguous as I havent paid much attention to maternity and childcare related policies as they dont pertain to me. It would be useful to have an - I dont know - option for these two questions."
175,India,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,Industry,5,2,Male,Mostly,Mostly,Mostly,Mostly,Always,Always,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Sexual harrassment, Mental harrassment",Yes,Yes,"Gender bias, Sexual harrassment, Mental harrassment","Yes, but I responded later.","Yes, I reported the issue.","Human Resources, Designated committee",No actions were taken.,Not comfortable,No,No,Yes,Yes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Mostly,Feeling of loyalty,Judgement by colleagues,"No, but I want to get involved",,being heard by HR or management,Mostly,Unwelcome,Sufficient,Sufficient,Sufficient,Sufficient,None
176,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,3,0,Male,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Moderately,Mostly,Mostly,Always,Moderately,Always,Yes,No,"Emotional harrassment, Mental harrassment",Yes,Yes,"Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",Designated committee,,Not comfortable,,,Maybe,Yes,Sometimes,Sometimes,Mostly,Mostly,Mostly,Mostly,,,"No, I don’t have such opportunities",,,Rarely,Never discussed,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
177,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,0,2,Female,Not Available,Always,Not Available,Always,Always,Always,Always,Mostly,Mostly,Not Available,Mostly,Always,Not Available,Always,Not Available,Not Available,,Not Available,Not Available,,,,Supervisor,,,,,Yes,Yes,Always,Always,Mostly,Mostly,Mostly,Mostly,,,Yes,,,Mostly,Supportive,Insufficient,Insufficient,Insufficient,Insufficient,None
178,Israel,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,1,Male,Mostly,Moderately,Not Available,Mostly,Mostly,Not Available,Mostly,Mostly,Moderately,Not Available,Mostly,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Not sure,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,"Actions were taken , biased in form of making things worse for the student.",Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, There was a higher rate of assessment ( doctoral committee meet) without any guidance from the PI.",Yes,Yes,Mostly,Mostly,Always,Sometimes,Mostly,Mostly,Some good words and appreciation from everyone in the group. ,Someone else in the group got it all planned out before I could pitch in.,"No, but I want to get involved",,Don't know. Would love to be guided on this matter.,Mostly,Supportive,Insufficient,Insufficient,Sufficient,Insufficient,"I have not come across any supportive plan. But I need to check details, if such provisions are at place in my institute."
179,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,0,Male,Mostly,Mostly,Not Available,Always,Always,Always,Always,Not Available,Mostly,Not Available,Not Available,Always,Not Available,Mostly,Not sure,No,,Not sure,Not sure,,"No, I was afraid of furthering the issue.","No, I did not know whom to report.",Supervisor,No actions were taken.,Not comfortable,No,No,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,,,"No, I don’t have such opportunities",,,Mostly,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Changing platform for babies only in ladies toilets
180,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,4,1,Male,Always,Rarely,Rarely,Moderately,Moderately,Rarely,Rarely,Moderately,Moderately,Rarely,Mostly,Moderately,Rarely,Moderately,Not sure,No,"Emotional harrassment, Mental harrassment",No,No,,"No, I was discouraged from responding to the incident.","No, I was afraid of being misjudged.","Human Resources, Designated committee",,Somewhat comfortable,,,Yes,Maybe,Sometimes,Sometimes,Rarely,Always,Rarely,Always,,,"No, I don’t have such opportunities",,,Sometimes,Neutral,Sufficient,Sufficient,None,None,Nursing room(s)
181,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,1,Female,Mostly,Mostly,Moderately,Moderately,Mostly,Not Available,Always,Mostly,Always,Not Available,Mostly,Always,Not Available,Always,Not sure,Not sure,,Yes,No,"Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,,Somewhat comfortable,,,Maybe,Yes,Mostly,Sometimes,Sometimes,Sometimes,Mostly,Mostly,,,"No, I don’t have such opportunities",,Equal opportunities,Sometimes,Neutral,Insufficient,Insufficient,Sufficient,None,None
182,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Moderately,Rarely,Not Available,Moderately,Always,Always,Moderately,Not Available,Moderately,Not Available,Not Available,Always,Always,Mostly,Yes,No,Mental harrassment,Not sure,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, but I responded later.","No, I did not know whom to report.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.",Maybe,Maybe,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,-,No incentives. ,Yes,"Organized panel discussions, made posters, marched on streets on issues of contemporary politics. That included solidarity with womens' issues. ",,Sometimes,I had to tender my resignation and my wife faced severe discriminatory behaviour once we let our respective PIs know that we were starting a family. ,Insufficient,Insufficient,Insufficient,None,"HR is answerable to PI/Dept./Univ. In my experience, they did not care much. Followed my PIs dictats to the tee. "
183,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Moderately,Rarely,Not Available,Moderately,Always,Always,Moderately,Not Available,Moderately,Not Available,Not Available,Always,Always,Mostly,Yes,No,Mental harrassment,Not sure,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, but I responded later.","No, I did not know whom to report.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.",Maybe,Maybe,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,-,No incentives. ,Yes,"Organized panel discussions, made posters, marched on streets on issues of contemporary politics. That included solidarity with womens' issues. ",,Sometimes,I had to tender my resignation and my wife faced severe discriminatory behaviour once we let our respective PIs know that we were starting a family. ,Insufficient,Insufficient,Insufficient,None,"HR is answerable to PI/Dept./Univ. In my experience, they did not care much. Followed my PIs dictats to the tee. "
184,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Moderately,Rarely,Not Available,Moderately,Always,Always,Moderately,Not Available,Moderately,Not Available,Not Available,Always,Always,Mostly,Yes,No,Mental harrassment,Not sure,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, but I responded later.","No, I did not know whom to report.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.",Maybe,Maybe,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,-,No incentives. ,Yes,"Organized panel discussions, made posters, marched on streets on issues of contemporary politics. That included solidarity with womens' issues. ",,Sometimes,I had to tender my resignation and my wife faced severe discriminatory behaviour once we let our respective PIs know that we were starting a family. ,Insufficient,Insufficient,Insufficient,None,"HR is answerable to PI/Dept./Univ. In my experience, they did not care much. Followed my PIs dictats to the tee. "
185,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Male,Mostly,Mostly,Not Available,Not Available,Never,Moderately,Moderately,Moderately,Moderately,Not Available,Not Available,Never,Moderately,Moderately,No,No,,No,Yes,"Gender bias, Mental harrassment","No, I was discouraged from responding to the incident.","No, I did not bother to report.",Human Resources,,Not comfortable,,,Yes,Maybe,Mostly,Sometimes,Sometimes,Mostly,Mostly,Mostly,,,"No, I don’t have such opportunities",,To make them self sufficient and help them overcoming imposter syndrome,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,None
186,Canada,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,4,1,Male,Mostly,Moderately,Mostly,Mostly,Rarely,Not Available,Not Available,Moderately,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,No,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Human Resources,didn't report,Not comfortable,No,No,Yes,No,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,,,Yes,,,Sometimes,Neutral,Insufficient,Insufficient,Insufficient,Insufficient,None
187,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,University,4,1,Male,Mostly,Always,Mostly,Mostly,Always,Always,Always,Mostly,Always,Mostly,Mostly,Always,Always,Always,No,No,,Not sure,Yes,"Gender bias, Mental harrassment","No, I did not know how to respond so I let it pass.",Someone else reported the issue on my behalf.,Human Resources,,Not comfortable,No,No,Yes,Yes,Always,Always,Sometimes,Mostly,Sometimes,Mostly,,,"No, but I want to get involved",,,Sometimes,Supportive,Sufficient,Insufficient,Sufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
188,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,4,Male,Mostly,Always,Mostly,Always,Always,Moderately,Always,Mostly,Always,Mostly,Always,Always,Mostly,Mostly,Yes,Yes,"Gender Bias, Physical harrassment, Emotional harrassment",Yes,Yes,Gender bias,"No, I was discouraged from responding to the incident.","No, I did not know whom to report.","Supervisor, Human Resources",never brought it up,Not comfortable,N/A,I would suppose  yes,Maybe,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,I need to get the work done. It is helpful to foster good lab behaviour,,"No, but I want to get involved",,ability to report /discuss concerns ,Rarely,Supportive,Insufficient,Insufficient,Sufficient,Insufficient,None
189,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,6,0,Male,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Yes,No,"Gender Bias, Emotional harrassment, Mental harrassment",No,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, but I responded later.","Yes, I reported the issue.",Designated committee,No actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, but I want to get involved",,Not to make them realize that they are any different ,Mostly,Supportive,Sufficient,Insufficient,Insufficient,Insufficient,None
190,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,2,0,Male,Always,Mostly,Not Available,Not Available,Always,Always,Moderately,Not Available,Mostly,Not Available,Mostly,Always,Always,Always,Yes,No,Gender Bias,No,No,,"Yes, but I responded later.","Yes, I reported the issue.",Supervisor,Strict actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,No,Always,Always,Mostly,Sometimes,Mostly,Mostly,,,"No, but I want to get involved",,Giving them more flexibility in terms of work schedule and providing child care at work,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Insufficient,"Flexible HR policy or other administrative support, None"
191,India,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,0,Male,Moderately,Mostly,Not Available,Mostly,Always,Always,Always,Not Available,Mostly,Not Available,Not Available,Always,Not Available,Always,Not sure,Not sure,,Yes,Yes,"Gender bias, Physical harrassment, Emotional harrassment, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Supervisor,Strict actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Better work environment",No,Yes,Yes,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,I feel it's my lab ,,"No, but I want to get involved",,A better and liberal working environment and more women could empower women. ,Rarely,Neutral,Sufficient,None,Sufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
192,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Moderately,Rarely,Not Available,Moderately,Always,Always,Moderately,Not Available,Moderately,Not Available,Not Available,Always,Always,Mostly,Yes,No,Mental harrassment,Not sure,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, but I responded later.","No, I did not know whom to report.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.",Maybe,Maybe,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,-,No incentives. ,Yes,"Organized panel discussions, made posters, marched on streets on issues of contemporary politics. That included solidarity with womens' issues. ",,Sometimes,I had to tender my resignation and my wife faced severe discriminatory behaviour once we let our respective PIs know that we were starting a family. ,Insufficient,Insufficient,Insufficient,None,"HR is answerable to PI/Dept./Univ. In my experience, they did not care much. Followed my PIs dictats to the tee. "
193,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Hospital,4,1,Male,Moderately,Rarely,Not Available,Mostly,Always,Moderately,Always,Rarely,Moderately,Not Available,Moderately,Always,Not Available,Always,Yes,Not sure,"Gender Bias, Mental harrassment",Yes,Not sure,Mental harrassment,"No, I was afraid of furthering the issue.","No, I did not bother to report.",I don't know.,I did not report to anyone.,Not comfortable,Did not report,Did not report,Yes,Maybe,Sometimes,Sometimes,Always,Always,Mostly,Sometimes,I like organizing activities and like leading.,,"No, but I want to get involved",,They need to be supported by allowing them to speak at public forums and letting them lead in various activities ,Sometimes,Supportive,Sufficient,Insufficient,Sufficient,Sufficient,None
194,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,1,Female,Never,Mostly,Moderately,Moderately,Moderately,Mostly,Always,Always,Always,Mostly,Mostly,Mostly,Always,Always,Yes,No,"Gender Bias, Sexual harrassment, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Supervisor,No actions were taken.,Not comfortable,No,No,Maybe,Yes,Always,Always,Always,Always,Mostly,Mostly,Recognition and a good work environment which builds and develops the skillset of the team,-,"No, but I want to get involved",,"Encourage them to contribute, and take their concerns seriously. ",Mostly,Supportive,Insufficient,Insufficient,Sufficient,Insufficient,None
195,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Industry,5,1,Male,Mostly,Mostly,Moderately,Moderately,Rarely,Always,Moderately,Rarely,Always,Mostly,Always,Always,Not Available,Always,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment","No, I was afraid of furthering the issue.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,Yes,"Career support group, mentoring women in science",,Mostly,Supportive,None,None,Sufficient,None,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support"
